state,district_name,odop_product_name,odop_gi_tag,min_setup_cost,max_setup_cost,gross_margin_d2c,breakeven_timeline,opportunity_score,why_this_district,page_slug
Assam,Jorhat,Bhoot Jholokia,No,180000,800000,60-75%,6-10 months,8,"Jorhat's hot and humid climate is naturally suited for Bhoot Jolokia cultivation. The district has 2,000 farmers already farming at scale in Nakachari and Teok clusters, with raw material proximity and zero supply constraints. National and international demand for extreme-heat chillies is growing 15-20% YoY in food, pharmaceutical, and hot sauce sectors.",bhoot-jholokia-jorhat
Assam,Kamrup (M),"Home Furnishing made of Eri , Muga & Assam Silk, etc.",No,150000,800000,50-65%,10-16 months,8,"Kamrup (M) is the epicenter of Assam's silk industry, with raw material sourcing from endemic Som and Soalu trees within 50-150 km radius. The district hosts 18+ active weaving clusters including Kamrup, Sualkuchi, and Goalpara with 8,000+ registered artisans. Proximity to buyers in Northeast India and ports via Guwahati makes export viable.",home-furnishing-made-of-eri--muga-assam-silk-etc-kamrup-m
Assam,Kamrup(R),Banana,No,350000,1200000,50-65%,10-16 months,6,"Kamrup Rural has abundant water resources, fertile alluvial soil, and proximity to Northeast markets. Pig-cum-fish integrated farming in the district achieved a benefit-cost ratio of 3.36:1, showing strong agricultural viability. Raw materials like banana, litchi, pineapple, and mango grow naturally in the region.",banana-kamrupr
Assam,Karbi Anglong,Ginger,No,150000,800000,60-75%,10-16 months,7,Karbi Anglong's elevation (900-1200m) and rainfall pattern produce ginger with superior aroma and pungency compared to lowland varieties. Raw material availability is direct from cluster farmers spread across 8000+ hectares. Proximity to Guwahati (140km) gives access to Assam's food processing industry and northeastern export corridors.,ginger-karbi-anglong
Assam,Karimganj,Plates and Bowls made of Arecanut Leaf Sheath,No,150000,450000,60-75%,10-16 months,7,"Karimganj sits in Assam, which is one of India's top 4 areca nut plantation states alongside Tamil Nadu, Karnataka, and Kerala. Raw material sourcing is immediate — local areca palm cultivation is established. The district has growing MSME clusters and artisan networks, positioning it as a low-cost manufacturing base before the proven shift to Tamil Nadu for quality scaling.",plates-and-bowls-made-of-arecanut-leaf-sheath-karimganj
Assam,Kokrajhar,Mushroom,No,250000,1500000,60-75%,6-10 months,,"Kokrajhar's rich biodiversity, ideal climate conditions with high humidity and moderate temperature, and fertile soil make it naturally suited for mushroom cultivation. The region's strong agricultural heritage and existing farmer networks provide a ready ecosystem for scaling organic mushroom production.",mushroom-kokrajhar
Assam,Lakhimpur,Handloom Products of Silk & Cotton,No,180000,550000,52-68%,9-16 months,7,"Lakhimpur sits in upper Assam where mulberry, Eri, and Muga silk cocoons are naturally cultivated; the district has an active Handloom Department under the Government of Assam and a concentrated weaver community in clusters like Dhemaji and North Lakhimpur. Raw silk production is local, reducing supply chain friction and enabling margin protection.",handloom-products-of-silk-cotton-lakhimpur
Assam,Majuli,Mustard Seeds,No,180000,450000,50-65%,10-16 months,6,Majuli is an island district in Upper Assam with naturally fertile alluvial soil ideal for mustard cultivation. Raw materials are grown locally with zero transportation cost for seed sourcing. The region has established agricultural infrastructure and access to bulk buyers in Assam and neighbouring states.,mustard-seeds-majuli
Assam,Morigaon,Maize,No,350000,2500000,48-62%,10-18 months,,"Morigaon's alluvial plains and riverine deposits from the Brahmaputra create naturally fertile soil ideal for maize cultivation. The district's cool monsoon climate and well-distributed rainfall (2200mm annually) provide optimal growing conditions without excessive chemical inputs, enabling naturally healthier, flavorful maize varieties that command premium prices.",maize-morigaon
Assam,Nagaon,Pearl,No,500000,3500000,60-75%,18-24 months,,"Nagaon's abundant freshwater resources, particularly the Brahmaputra river system and wetlands, provide ideal conditions for mussel farming. The district has developed skilled artisan communities experienced in traditional aquaculture, creating a natural ecosystem for pearl cultivation innovation and eco-conscious production methods.",pearl-nagaon
Assam,Nalbari,Rice & Rice Products,No,150000,5000000,50-65%,10-16 months,6,"Nalbari is one of Assam's primary rice-producing districts with ideal alluvial soil, abundant water from the Brahmaputra river system, and established rice cultivation across Tihu and Borigog-Banbhag clusters. A study of 120 rice growers from six villages documents the farming practices and productivity patterns. The district supplies raw rice and processed products to Assam's food industry and regional markets.",rice-rice-products-nalbari
Assam,Sivasagar,Rice & Rice Products,No,450000,2500000,50-65%,10-16 months,,"Sivasagar district has ideal agro-climatic conditions with abundant water resources from the Brahmaputra valley, ensuring consistent high-yield rice cultivation. The region has over a century of rice farming heritage with skilled farmers and established supply chains. Proximity to Assam's major consumption centers and neighboring states makes logistics cost-effective.",rice-rice-products-sivasagar
Assam,Sonitpur,"Parboiled Rice , Steam Rice & all Rice products",No,250000,1500000,50-65%,10-16 months,7,"Sonitpur lies in the Brahmaputra valley with fertile alluvial soil ideal for rice cultivation. Paddy is grown locally and processed within the district through 2 established production units. The region supplies rice to Assam, Northeast India, and beyond, with direct access to raw materials eliminating transport costs.",parboiled-rice--steam-rice-all-rice-products-sonitpur
Assam,South Salamara- Mankachar,Processed cashew nuts,No,150000,500000,50-65%,10-16 months,6,"South Salamara-Mankachar lies in western Assam with headquarters in Hatsimigari and sits in a region with established tropical cashew cultivation. Raw cashew nuts are sourced locally from trees that grow 13-14 meters tall, with dwarf varieties (6 meters) proving more beneficial for yield. The district has selected cashew processing as its ODOP product, indicating existing artisan infrastructure and govt support channels.",processed-cashew-nuts-south-salamara--mankachar
Assam,Tamulpur,Honey,No,150000,500000,60-75%,10-16 months,,"Tamulpur's dense forests and lush landscapes provide ideal flora diversity for wild honey production. The region's traditional beekeeping communities have centuries of expertise in sustainable harvesting, and the forest cover exceeds 45%, creating optimal conditions for diverse bee populations and rich honey nectar sources.",honey-tamulpur
Assam,Tinsukia,Assam Lemon,No,150000,800000,50-65%,12-18 months,8,"Tinsukia has perfected lemon cultivation across more than 15,000 hectares with Kaji nemu, a seedless variety with distinct aroma and higher juice content. The district's tropical climate, soil composition, and traditional farming methods make it ideal for year-round lemon production. Direct access to export corridors via Dibrugarh airport and proximity to Delhi-NCR, Bengaluru, Pune, and Hyderabad markets through established promotional kiosks (100+ locations) reduce buyer acquisition cost.",assam-lemon-tinsukia
Assam,Udalguri,Orthodox Tea (black) and Green Tea,No,450000,2500000,50-65%,10-16 months,7,"Udalguri lies in North Assam's tea-growing belt where altitude, soil composition, and climate conditions naturally support Orthodox tea cultivation. The district has established tea estates listed as key infrastructure, providing proximity to raw tea leaves, processing knowledge, and existing supply chains. Buyer markets include domestic tea companies across Assam and eastern India, plus emerging health-conscious consumers nationwide seeking quality black and green tea.",orthodox-tea-black-and-green-tea-udalguri
Assam,West Karbi Anglong,Ginger,No,350000,1500000,60-75%,10-16 months,8,"West Karbi Anglong sits at 500-700m elevation with 2,600 hectares of organic ginger cultivation in Singhasan Hills, providing ideal highland soil and climate. The district has 10,000 established farmers with three decades of commercial ginger experience since the 1950s. Proximity to pan-India markets (Delhi, Mumbai) and established export channels to Europe, Canada, and Middle East reduce buyer search time.",ginger-west-karbi-anglong
Bihar,Araria,Jute,No,150000,2500000,50-65%,10-16 months,7,"Araria's alluvial soil and monsoon climate are ideal for jute cultivation, with the Kosi River system providing irrigation support. The district has an established jute fiber extraction network and artisan community with decades of experience in hand and mechanical processing. Proximity to Bangladesh — the world's largest jute goods exporter — creates natural cross-border buyer relationships and knowledge transfer.",jute-araria
Bihar,Arwal,Mushroom,No,180000,2500000,50-65%,10-16 months,7,"Arwal has a favourable climate and fertile soil suitable for mushroom cultivation, with sterilized paddy straw readily available from surrounding agricultural areas. The district has seen rising adoption of oyster, button, shiitake, and exotic varieties with proven market demand at ₹1000-12000 per kg. Raw material suppliers and established producers like Poonam Sharma's operation serve as knowledge anchors for new entrants.",mushroom-arwal
Bihar,Aurangabad,Lemon Grass,No,250000,2500000,60-75%,10-16 months,,"Aurangabad's semi-arid climate, fertile Gangetic plains soil, and well-developed agricultural infrastructure make it ideal for lemongrass cultivation. The district's proximity to major spice hubs and established agri-export networks provide direct market access. Local farmer cooperatives and existing herbal cultivation expertise create a ready ecosystem for scaling lemongrass production.",lemon-grass-aurangabad
